name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
Ecole Primaire Mbafu,-0.5501432,29.1764171,safe,124.62,Battle,2024-01-01,7396262570
École Primaire Mandeite,0.0880332,29.3824582,safe,196.32,Battle,2024-01-01,7396262575
Ecole Primaire Manga,-0.2885219,29.2360017,safe,153.62,Battle,2024-01-01,7396262576
École Primaire Lyambo,0.083682,29.3190256,safe,195.31,Battle,2024-01-01,7396262577
Ecole Primaire Luthali,-0.3277421,29.1907556,safe,149.29,Battle,2024-01-01,7396262578
Ecole Primaire Maendeleo,-0.6972885,29.1715345,safe,108.29,Battle,2024-01-01,7396262581
Ecole Primaire Lemera,-1.1810825,29.4492405,safe,60.04,Battle,2024-01-01,7396262583
Ecole Primaire Kyota,-0.3581961,29.150843,safe,146.07,Battle,2024-01-01,7396262584
Ecole Primaire Lukeke,-0.6847178,29.1727497,safe,109.68,Battle,2024-01-01,7396262587
Ecole Primaire Lubango,-0.3189982,29.2137258,safe,150.23,Battle,2024-01-01,7396262588
Ecole Primair Kitimbo,0.0061379,29.3111657,safe,186.65,Battle,2024-01-01,7396262589
Ecole Primaire Kitovo Vitumbi,-0.405714,29.3201269,safe,141.02,Battle,2024-01-01,7396262590
Ecole Primaire Kitava,0.0170841,29.3218682,safe,187.94,Battle,2024-01-01,7396262591
Ecole Primaire Kyengero,-0.5381717,29.1458648,safe,126.12,Battle,2024-01-01,7396262592
Ecole Primaire Kyesero,-0.3816493,29.3153681,safe,143.65,Battle,2024-01-01,7396262593
Ecole Primaire Kivisiri,-0.3733967,29.1497286,safe,144.39,Battle,2024-01-01,7396262594
École Primaire Kirumba,-0.5589492,29.1829671,safe,123.61,Battle,2024-01-01,7396262596
École Primaire Kirimo,-0.4274937,29.1062924,safe,138.74,Battle,2024-01-01,7396262597
Ecole Primaire Kisongero,-0.4395954,28.9055628,safe,141.21,Battle,2024-01-01,7396262598
Ecole Primaire Kitamba,-3.0558498,28.4663271,safe,75.07,Violence against civilians,2024-01-02,7396262599
Ecole Primaire Kisololwe,-0.5543343,29.2405957,safe,124.08,Battle,2024-01-01,7396262601
Ecole Primaire Kilambwigali,-2.9070201,28.5522662,safe,56.05,Violence against civilians,2024-01-02,7396262602
Ecole Primaire Kikuvo,-0.5539444,29.2325271,safe,124.11,Battle,2024-01-01,7396262604
École Primaire Kinyondo,-0.6481003,29.1785247,safe,113.72,Battle,2024-01-01,7396262605
École Primaire Kiribata,-0.3979757,29.3219112,safe,141.9,Battle,2024-01-01,7396262606
Ecole Primaire Kinyangu,-0.6947673,29.1766728,safe,108.55,Battle,2024-01-01,7396262608
École Primaire Kavingu,0.0747015,29.3619126,safe,194.64,Battle,2024-01-01,7396262610
École Primaire Katiri,-0.607036,29.2536754,safe,118.26,Battle,2024-01-01,7396262611
Ecole Primaire Kibanda,-3.0223817,28.3422286,safe,80.96,Violence against civilians,2024-01-02,7396262612
Ecole Primaire Kiboko,-0.4414675,29.3736414,safe,137.67,Battle,2024-01-01,7396262613
Ecole Primaire Kavuhiro,-0.5524905,29.1745596,safe,124.36,Battle,2024-01-01,7396262614
Ecole Primaire Kayna,-0.6066816,29.175366,safe,118.34,Battle,2024-01-01,7396262615
